id;cod_bnk;cod_emp;rs_emp;nom_emp;prenom_emp;fct_emp;adr_emp;te_emp;typ_enmp;num_mat
1;West;Bangla;indexing;programming;transmit;motivating Points;Cotton;Beauty input;infrastructure;Grocery
2;Faci;online;bluetooth FTP Dale;Mississippi eco-centric;Shirt Montana Internal;Handmade Cotton Hat Generic;Money Market Account Regional;Metical;impactful Administrator;cross-media Universal
3;copy;Intera;plug-and-play;Handcrafted;Refined;implement Massachusetts;navigate Tasty Fresh Bike;e-tailers;quantify Extended;Designer
4;Savi;Handcr;parallelism;Salad hacking;IB parse Small;grid-enabled CFA Franc BEAC;Palestinian Territory;Outdoors deposit;Creative;Devolved
5;with;progra;directional Moroccan Dirham uniform;hacking;Outdoors;Tanzanian Shilling;Gorgeous;hard drive Avon;programming;Alaska
6;Robu;end-to;Devolved port;Mountain optical leverage;Handmade Metal Chicken JBOD;Granite;HDD;Avon payment Bike;Computers;Senior Investment Account
7;Plas;haptic;e-markets;Valley national;protocol Shoes engage;Pre-emptive compress green;definition black;Technician orange;Wooden;Avon
8;hack;Shoes;compress Gloves virtual;user-centric Credit Card Account Hong Kong;USB;JBOD copying;Checking Account Books;navigating;Singapore Dollar disintermediate deposit;Park Hong Kong Dollar Checking Account
9;meth;microc;Direct bi-directional;Product;open-source;leading-edge Programmable;Fantastic Metal Chicken SAS Handmade;eyeballs;back up Singapore Dollar;Buckinghamshire
10;Camb;Generi;withdrawal;XSS circuit zero defect;connecting Borders;Progressive pricing structure Cotton;zero administration EXE;Frozen Russian Federation Cotton;mobile Cambridgeshire;Incredible open-source hierarchy
