id;identifier;label;short_label;parent;is_enabled;adrs_1;adrs_2;adrs_3;zipcode;city;country;email;parameters;parent_id
1;Handcrafted maroon Handmade;distributed Micronesia;Tasty Steel Bike Optimization;88794;true;Sleek Concrete Computer integrated Concrete;Honduras lavender;ADP;program XML;Milantown;Mozambique;Osborne_Fadel@yahoo.com;../fake-data/blob/hipster.txt;compressing
2;Credit Card Account yellow exten;Music;Security Principal bricks-and-clicks;12715;true;scale Falkland Islands (Malvinas) capacity;Rubber;experiences invoice;Mission Alaska;Orrinport;Malaysia;Delilah29@yahoo.com;../fake-data/blob/hipster.txt;Small circuit focus group
3;Tenge redundant;24/365 GB maroon;Regional Associate Producer;67683;false;Toys;FTP European Unit of Account 9(E.U.A.-9) Investment Account;calculate Rubber neural;JBOD Grass-roots Jewelery;East Rebekachester;Guam;Renee_Hane@hotmail.com;../fake-data/blob/hipster.txt;synthesizing
4;Arkansas Wooden;Forward Ergonomic deposit;Auto Loan Account application;94338;false;Quality;Movies;Licensed Frozen Gloves Computers;Frozen Toys Facilitator;Lake Freemanville;Morocco;Sydnie_Schimmel@hotmail.com;../fake-data/blob/hipster.txt;envisioneer
5;Director Kids;Sleek Villages;EXE Cocos (Keeling) Islands;64087;true;synthesizing Implementation Christmas Island;Checking Account;Factors Officer;indexing;South Bruceport;Mauritania;Hassie59@yahoo.com;../fake-data/blob/hipster.txt;Road magenta Avon
6;enterprise GB function;synthesize Refined Rubber Pants Maine;interactive interactive;44164;true;Ameliorated quantifying Ergonomic;one-to-one Inverse;logistical Ameliorated;Florida Architect Decentralized;West Rigoberto;Nicaragua;Lue_Stokes@hotmail.com;../fake-data/blob/hipster.txt;product Small feed
7;responsive Checking Account;ADP;array auxiliary;6578;false;Outdoors;Analyst French Polynesia;monetize Crossing;Saint Kitts and Nevis Intelligent Frozen Bike port;East Erlingside;Niue;Maxwell.Howe@gmail.com;../fake-data/blob/hipster.txt;Rest Unbranded Plastic Hat
8;Personal Loan Account open-sourc;Tasty customer loyalty auxiliary;mindshare;20094;false;responsive;Orchestrator Comoros;indexing Division;web services leading edge;Monahanstad;Kazakhstan;Ernestine12@gmail.com;../fake-data/blob/hipster.txt;Ergonomic Sleek Granite Fish Eth
9;Versatile Chips Salad;Dynamic;Gorgeous Frozen Shirt supply-chains European Unit ;36100;false;Home Loan Account copy;payment salmon PNG;Chair;architect;East Esteban;Saint Vincent and the Grenadines;Adriel.Lind75@gmail.com;../fake-data/blob/hipster.txt;RSS
10;Guinea;Arizona;seize;75688;true;mobile;Markets deposit back up;focus group;Lead SCSI;Kihnberg;Bosnia and Herzegovina;Jalon_McDermott95@hotmail.com;../fake-data/blob/hipster.txt;visualize Investment Account Bal
