id;code;label;short_label;entity;enabled;adrs_1;adrs_2;adrs_3;city
1;Computer Avon;Licensed Plastic Sausages Tools Tuna;Hat Internal;deposit primary;true;Bulgaria bypass Graphical User Interface;Identity compelling District;Walks revolutionize;Grimesshire
2;View Codes specifically reserved;synthesizing;Granite New Mexico;Solomon Islands Dollar Frozen Practical Fresh Fish;true;Data;Rand Loti;digital Beauty Kuwaiti Dinar;Schambergerbury
3;index;Buckinghamshire;whiteboard Programmable;deposit internet solution access;true;Intelligent Plastic Tuna;context-sensitive sexy Practical Steel Bike;Row Ouguiya;South Ayla
4;metrics sensor;synergies;Liaison Customizable;matrix;true;rich;Games Czech Koruna;Gorgeous Frozen Hat Licensed Metal Chair;Kutchmouth
5;Wooden Tasty Infrastructure;Regional;maximized;Kina contingency;false;parse Sleek Square;enterprise;Investment Account;East Lauriechester
6;reboot Incredible Soft Gloves re;SMTP Keyboard modular;Compatible;South Carolina turn-key;false;content-based;XSS Intelligent;Beauty;Lake Bennietown
7;navigate red;Home explicit;Valley Baby Future;Global Motorway;false;cultivate COM deliver;Cambridgeshire Generic;Forward embrace;Mariannaton
8;Infrastructure;Frozen channels hacking;Tuna Central tan;Senior Practical Rubber Ball Gorgeous;true;Buckinghamshire AGP;disintermediate Officer access;connect sky blue;Danielberg
9;Keyboard;encoding transition Shoes;Principal;optical quantify;true;deposit withdrawal;Lead Generic;function capacity invoice;Schneiderville
10;deposit;ROI Saint Martin;Designer Bosnia and Herzegovina;reinvent;true;Tuna;Rustic Steel Chips;Chair;Kubbury
